"","Time.point",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Corr.p.adjust","Corr.p.signif"
"1","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup170-GFP",62,48,-0.317147177511418,0.751131928664544,1,"ns",1,"ns"
"2","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup120-GFP",62,72,-0.369885618723802,0.71146771730658,1,"ns",1,"ns"
"3","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup49-GFP",62,50,-0.0171279738169621,0.986334522304686,1,"ns",1,"ns"
"4","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Mlp1-GFP",62,75,-0.0358353331832896,0.97141365934484,1,"ns",1,"ns"
"5","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup1-GFP",62,72,-0.24057093954782,0.80988767564165,1,"ns",1,"ns"
"6","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup2-GFP",62,70,-0.16616632124604,0.868026062698689,1,"ns",1,"ns"
"7","Pre","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup60-GFP",62,53,-0.0766272946484901,0.93892004479716,1,"ns",1,"ns"
"8","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup170-GFP",62,48,0.913849434903541,0.360795966435536,1,"ns",0.721591932871072,"ns"
"9","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup120-GFP",62,72,1.18399407869193,0.236415406777602,1,"ns",0.709246220332807,"ns"
"10","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup49-GFP",62,50,2.32654977680403,0.0199892402448668,0.219881642693534,"ns",0.079956960979467,"ns"
"11","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Mlp1-GFP",62,75,0.750840487898214,0.452748659592045,1,"ns",0.721591932871072,"ns"
"12","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup1-GFP",62,72,6.28252924996379,3.33108571551022e-10,5.9959542879184e-09,"****",1.66554285775511e-09,"****"
"13","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup2-GFP",62,70,11.4833096266762,1.60034948617594e-30,4.48097856129264e-29,"****",1.12024464032316e-29,"****"
"14","Anaphase","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup60-GFP",62,53,9.77507696588506,1.44047802987628e-22,3.60119507469071e-21,"****",8.6428681792577e-22,"****"
"15","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup170-GFP",62,48,1.61202625840011,0.106956225827981,1,"ns",0.468722736566845,"ns"
"16","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup120-GFP",62,72,1.49203897201437,0.135688928967379,1,"ns",0.468722736566845,"ns"
"17","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup49-GFP",62,50,1.67596755821548,0.093744547313369,1,"ns",0.468722736566845,"ns"
"18","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Mlp1-GFP",62,75,1.2366169748174,0.216229314946717,1,"ns",0.468722736566845,"ns"
"19","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup1-GFP",62,72,0.395627333188941,0.692379969947233,1,"ns",0.692379969947233,"ns"
"20","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup2-GFP",62,70,4.27605948058956,1.90230417949308e-05,0.000532645170258062,"***",0.000133161292564515,"***"
"21","Post","Norm.Nuc.NE.mean.Ratio","Pom34-GFP","Nup60-GFP",62,53,2.05935994546537,0.0394597698406281,0.868114936493818,"ns",0.236758619043768,"ns"
